student_id,lifestyle_type,age,gender,course,year_of_study,hostel_block,sleep_time,wake_time,alarm_count,snooze_frequency,noise_sleep_tolerance,lights_off_time,study_hours,study_time_preference,silence_requirement,self_talking_study,academic_seriousness,cleanliness_score,organization_score,laundry_frequency,bed_making_habit,room_cleaning_frequency,bathing_frequency,towel_management,phone_call_frequency,late_night_calls,talkativeness,guest_frequency,overnight_guest_comfort,friendship_expectation,guest_timing_preference,privacy_preference,sharing_comfort,boundary_importance,unauthorized_usage,borrowing_frequency,independence_preference,fan_speed_preference,temperature_preference,entry_exit_noise_awareness,conflict_tolerance,conflict_style,criticism_response,emotional_stability,negativity_level,communication_respect,punctuality,adaptability,schedule_consistency,smoking,drinking,gaming_hours,music_frequency,music_volume,room_eating_habit,food_smell_tolerance,food_preference,gym_frequency,religious_practice_frequency,expense_responsibility
1,social,18,Female,CE,2,B,1,7,5,1,5,1,4,Morning,1,1,2,2,3,5,0,5,1,5,4,2,5,5,1,4,Afternoon,3,5,3,0,2,1,3,1,2,4,Direct,4,4,3,4,1,4,3,0,0,1,5,5,1,3,Eggetarian,0,1,4
2,average,20,Male,CE,1,D,0,9,3,2,3,0,4,Afternoon,3,1,5,4,3,5,0,2,2,4,3,5,2,3,0,2,Morning,3,3,3,0,2,4,3,2,4,3,Aggressive,5,3,3,3,2,4,4,0,1,4,4,3,0,3,Eggetarian,3,1,2
3,gamer,19,Male,BBA,1,D,1,9,5,3,5,1,2,Morning,5,3,3,2,2,4,0,4,1,3,5,2,4,2,1,4,Afternoon,2,3,2,0,5,3,4,1,2,3,Complain,3,2,2,2,1,4,2,0,1,5,4,4,0,4,Eggetarian,4,4,2
4,gamer,24,Male,EE,4,C,1,9,1,2,2,1,2,Evening,1,5,5,2,3,2,0,1,3,1,2,1,2,3,0,4,Afternoon,3,4,3,0,5,2,5,5,3,2,Aggressive,5,2,1,2,4,3,2,1,0,4,4,1,1,4,Vegetarian,1,2,2
5,night_owl,19,Female,ME,3,D,2,8,4,5,1,2,2,Morning,1,2,2,3,3,4,0,7,2,1,2,4,2,3,1,3,Evening,3,4,4,1,2,2,3,2,2,4,Direct,4,2,1,5,5,4,1,0,1,1,2,1,0,3,Non-Vegetarian,0,5,2
6,social,18,Male,BBA,3,C,23,9,3,2,3,23,4,Afternoon,3,4,3,2,1,4,0,1,3,2,5,3,4,5,1,4,Afternoon,2,5,2,1,5,3,3,5,4,5,Direct,5,4,3,2,2,3,2,0,1,2,5,4,0,4,Vegetarian,2,5,3
7,average,24,Male,ECE,4,C,22,6,3,2,3,22,3,Night,5,4,5,2,1,1,0,5,1,3,5,5,2,3,0,2,Evening,3,2,3,0,2,4,1,3,4,3,Avoid,3,3,2,5,1,2,4,0,0,2,3,2,0,5,Vegetarian,3,2,2
8,clean_freak,21,Female,EE,2,B,22,7,4,3,3,22,2,Evening,3,5,4,4,5,3,0,1,2,2,5,3,2,2,1,3,Evening,5,4,4,0,4,4,2,3,4,4,Aggressive,2,3,3,5,1,4,3,0,1,1,3,5,1,3,Non-Vegetarian,2,4,4
9,average,19,Male,BBA,4,B,0,9,5,1,3,0,4,Afternoon,4,5,5,4,4,4,1,4,3,2,5,4,4,2,0,3,Evening,2,2,4,0,2,2,2,1,2,2,Aggressive,2,5,4,3,4,3,3,0,0,1,1,4,0,3,Eggetarian,4,4,2
10,social,24,Male,BCOM,2,D,1,9,5,5,3,1,4,Night,5,4,2,4,4,4,1,7,1,3,5,4,4,5,1,5,Morning,3,5,2,0,3,2,5,1,2,3,Direct,4,3,3,3,1,3,3,0,1,4,5,3,0,5,Non-Vegetarian,4,1,4
